Obs,Place,State,Gender,Age,Age2,AgeGrp,Year,Seed,Time,Diff,Split-1,Split-2,Split-3,Split-4,Split-5,Split-6,Split-7,Split-8,Split-9,Split-10
1,1,MO,0,53,2809,1,2009,391.66,366.25,-25.41,32.16,35.42,36.70,37.59,38.05,37.69,37.80,38.51,37.79,34.54
2,2,WV,0,52,2704,1,2009,404.60,368.92,-35.68,32.89,35.10,36.66,37.19,38.34,38.17,38.23,38.39,37.71,36.24
3,3,KY,0,51,2601,1,2009,432.23,377.13,-55.10,33.03,36.32,36.95,37.58,38.05,38.75,39.11,39.70,39.01,38.63
4,4,KY,0,53,2809,1,2009,385.50,381.30,-4.20,32.12,36.36,38.29,38.98,38.91,39.23,39.55,40.22,39.35,38.29
5,5,KY,0,53,2809,1,2009,476.11,407.65,-68.46,36.67,39.21,40.31,41.28,41.69,42.83,42.50,41.90,41.29,39.97
6,6,GA,0,54,2916,1,2009,418.00,412.43,-5.57,34.80,38.45,41.03,41.62,41.56,42.22,42.14,48.29,42.73,39.59
7,7,MD,0,52,2704,1,2009,451.31,453.76,2.45,34.42,40.06,45.77,48.05,48.44,47.79,48.62,47.74,48.07,44.80
8,8,OK,0,53,2809,1,2009,520.79,532.18,11.39,50.42,51.04,53.76,55.22,53.29,53.11,53.07,53.83,52.46,55.98
9,1,WA,0,57,3249,2,2009,323.32,301.88,-21.44,28.75,30.90,31.19,30.97,30.78,30.44,29.90,29.79,30.05,29.11
10,2,CA,0,59,3481,2,2009,332.57,317.16,-15.41,28.90,30.75,31.24,31.42,31.52,31.75,32.01,32.94,33.56,33.07
11,3,TN,0,55,3025,2,2009,351.20,335.12,-16.08,29.15,31.18,32.40,33.26,33.99,34.29,35.06,35.43,35.14,35.22
12,4,CA,0,57,3249,2,2009,363.43,338.67,-24.76,30.48,33.16,34.37,34.75,34.37,34.84,34.89,35.10,34.65,32.06
13,5,CO,0,55,3025,2,2009,390.80,368.92,-21.88,31.43,35.44,36.89,37.54,38.06,37.98,38.20,38.93,38.18,36.27
14,6,KY,0,59,3481,2,2009,442.74,371.50,-71.24,31.23,36.50,38.11,38.41,38.30,37.95,37.78,38.88,38.26,36.08
15,7,TX,0,59,3481,2,2009,456.86,438.68,-18.18,36.88,42.55,44.13,46.07,45.56,45.67,46.02,45.02,45.40,41.38
16,8,CA,0,59,3481,2,2009,491.90,464.72,-27.18,37.51,45.38,47.39,47.95,47.86,48.34,48.75,48.70,48.38,44.46
17,9,OH,0,59,3481,2,2009,533.10,484.96,-48.14,40.79,46.02,49.21,48.66,51.97,51.55,52.37,51.98,49.64,42.77
18,10,WI,0,58,3364,2,2009,535.10,511.26,-23.84,43.66,49.64,51.91,52.20,53.45,53.22,53.49,52.95,52.34,48.40
19,11,TX,0,58,3364,2,2009,561.40,627.25,65.85,50.49,59.49,62.42,64.51,66.27,67.62,67.22,65.64,66.59,57.00
20,1,WA,0,60,3600,3,2009,349.98,329.04,-20.94,28.97,31.46,32.33,32.77,33.96,33.92,34.12,34.27,34.44,32.80
21,2,CA,0,63,3969,3,2009,402.63,375.18,-27.45,32.45,36.11,36.73,38.06,38.73,38.63,39.00,39.06,38.71,37.70
22,3,CO,0,61,3721,3,2009,376.00,377.64,1.64,33.87,37.29,38.86,39.28,37.62,37.91,39.14,39.03,38.03,36.61
23,4,FL,0,60,3600,3,2009,379.80,379.41,-0.39,34.00,37.42,37.88,39.14,38.26,38.89,38.78,38.80,38.60,37.64
24,5,CA,0,62,3844,3,2009,412.00,383.62,-28.38,31.67,36.06,37.72,39.21,40.50,40.19,40.25,40.62,40.08,37.32
25,6,NC,0,64,4096,3,2009,402.80,385.90,-16.90,32.07,35.17,37.49,38.53,39.37,40.44,40.00,41.30,41.09,40.44
26,7,KY,0,62,3844,3,2009,423.80,400.99,-22.81,34.91,38.39,40.63,41.45,41.08,42.22,41.57,41.23,40.37,39.14
27,8,TX,0,63,3969,3,2009,429.90,406.01,-23.89,35.15,38.39,39.70,41.87,41.83,42.44,42.06,42.54,42.14,39.89
28,9,IL,0,63,3969,3,2009,423.40,411.41,-11.99,32.50,38.36,40.29,41.65,43.25,42.41,43.39,44.33,43.49,41.74
29,10,MD,0,63,3969,3,2009,433.20,450.63,17.43,39.03,44.68,46.59,47.48,46.85,46.24,45.93,45.17,44.93,43.73
30,11,UT,0,61,3721,3,2009,446.40,455.42,9.02,40.44,44.23,46.47,46.70,46.56,46.98,46.88,46.72,46.18,44.26
31,12,CA,0,62,3844,3,2009,469.10,456.62,-12.48,39.44,41.48,43.44,45.57,46.84,46.83,48.58,49.76,48.58,46.10
32,13,NC,0,62,3844,3,2009,479.80,472.75,-7.05,39.09,42.89,45.03,47.28,48.16,49.19,49.84,50.82,51.30,49.15
33,14,OH,0,62,3844,3,2009,510.70,484.36,-26.34,41.74,47.83,49.69,49.27,49.81,49.51,49.44,49.69,49.79,47.59
34,15,NM,0,63,3969,3,2009,540.44,519.09,-21.35,39.61,53.28,53.28,53.28,53.28,53.28,53.28,53.28,53.28,53.28
35,1,CA,0,67,4489,4,2009,378.01,374.18,-3.83,34.85,36.70,37.20,37.69,37.75,37.90,38.26,38.55,38.63,36.65
36,2,CA,0,69,4761,4,2009,401.03,399.65,-1.38,34.33,38.03,39.96,39.96,39.96,41.44,41.44,41.47,41.82,41.24
37,3,TX,0,66,4356,4,2009,450.30,413.16,-37.14,35.68,38.30,41.04,43.19,42.63,42.31,43.41,43.02,42.21,41.37
38,4,CA,0,69,4761,4,2009,437.30,438.23,0.93,38.14,41.93,42.68,42.14,43.60,44.97,46.36,45.56,46.84,46.01
39,5,TN,0,65,4225,4,2009,460.94,446.82,-14.12,36.76,43.29,44.63,45.23,44.64,45.91,46.25,47.60,47.62,44.89
40,6,WA,0,68,4624,4,2009,483.44,452.25,-31.19,38.38,42.88,45.39,47.04,46.72,46.62,47.50,47.62,46.14,43.96
41,7,PA,0,66,4356,4,2009,462.80,459.89,-2.91,40.52,43.10,45.41,46.89,46.86,48.11,46.90,48.40,49.34,44.36
42,8,NC,0,69,4761,4,2009,471.60,463.38,-8.22,37.18,41.89,44.09,45.55,47.18,48.29,49.41,49.69,50.32,49.78
43,9,MA,0,69,4761,4,2009,480.50,471.73,-8.77,43.40,44.57,47.55,48.21,49.50,48.58,49.07,48.72,47.87,44.26
44,10,MD,0,65,4225,4,2009,502.12,494.05,-8.07,44.79,48.60,51.04,51.89,51.08,51.40,51.19,49.78,48.72,45.56
45,11,CA,0,68,4624,4,2009,524.91,518.64,-6.27,47.25,52.63,52.40,52.54,52.82,52.39,52.13,52.79,53.76,49.93
46,12,MI,0,67,4489,4,2009,510.90,542.11,31.21,40.17,47.32,51.57,54.37,55.19,56.43,57.91,59.08,60.69,59.38
47,13,VA,0,67,4489,4,2009,697.80,639.64,-58.16,43.12,60.50,65.44,66.58,67.62,67.53,67.44,68.39,69.35,63.67
48,1,TN,0,74,5476,5,2009,426.10,408.52,-17.58,36.45,39.87,41.40,43.62,43.16,42.31,41.77,41.51,40.95,37.48
49,2,CO,0,72,5184,5,2009,452.50,428.10,-24.40,37.35,41.41,43.74,44.73,44.24,43.92,43.93,43.54,43.80,41.44
50,3,NH,0,71,5041,5,2009,463.90,436.38,-27.52,38.77,42.08,43.95,44.70,45.04,46.01,45.55,45.01,44.43,40.84
51,4,CA,0,72,5184,5,2009,467.43,439.37,-28.06,38.74,44.47,45.45,45.76,45.81,45.34,45.82,44.23,43.28,40.47
52,5,OH,0,70,4900,5,2009,501.90,452.41,-49.49,38.90,44.04,45.67,46.86,47.45,47.15,47.70,46.48,45.01,43.15
53,6,CA,0,74,5476,5,2009,446.97,453.35,6.38,40.20,43.61,45.36,46.14,46.46,46.36,46.41,47.08,46.18,45.55
54,7,CA,0,71,5041,5,2009,510.77,470.82,-39.95,41.00,45.58,48.17,48.76,48.01,48.08,48.12,49.10,49.55,44.45
55,8,TX,0,72,5184,5,2009,471.60,473.69,2.09,37.24,44.04,47.70,49.37,49.93,51.30,50.17,49.47,48.98,45.49
56,9,TX,0,74,5476,5,2009,498.80,504.70,5.90,41.74,48.33,48.33,50.58,52.05,53.01,53.45,52.11,52.74,52.36
57,10,HI,0,74,5476,5,2009,535.90,508.50,-27.40,44.21,49.30,51.56,51.43,52.15,52.35,52.67,51.57,52.08,51.18
58,11,DC,0,71,5041,5,2009,494.40,517.31,22.91,38.09,43.71,47.15,48.98,51.71,54.24,57.15,57.29,59.26,59.73
59,12,VA,0,70,4900,5,2009,540.45,521.40,-19.05,43.63,51.58,54.13,53.45,54.52,53.49,53.68,55.30,53.04,48.58
60,13,TX,0,73,5329,5,2009,507.60,526.09,18.49,43.63,51.93,54.31,54.67,54.65,54.23,54.25,53.66,52.93,51.83
61,14,TN,0,70,4900,5,2009,542.80,573.14,30.34,54.68,54.72,58.33,60.01,58.65,57.61,58.30,57.80,56.52,56.52
62,15,CA,0,72,5184,5,2009,683.89,581.32,-102.57,49.90,57.47,61.47,61.43,60.79,57.41,61.90,57.99,60.31,52.65
63,16,NJ,0,73,5329,5,2009,585.20,596.27,11.07,49.22,57.93,61.16,61.34,61.32,61.88,65.34,62.73,61.69,53.66
64,17,CA,0,72,5184,5,2009,642.97,634.06,-8.91,56.35,64.96,68.50,67.34,67.83,67.39,66.33,62.65,59.13,53.58
65,18,TX,0,72,5184,5,2009,814.85,645.30,-169.55,52.05,62.16,63.05,65.86,68.33,67.94,68.48,67.13,67.39,62.91
66,19,GA,0,71,5041,5,2009,761.00,761.74,0.74,56.28,77.99,83.33,82.65,84.10,79.84,81.81,81.36,82.03,52.35
67,1,TX,0,78,6084,6,2009,438.21,393.57,-44.64,35.06,38.60,40.17,40.84,40.88,40.14,40.31,39.91,40.39,37.27
68,2,CA,0,75,5625,6,2009,457.90,458.95,1.05,39.30,45.38,47.05,48.68,47.67,47.49,46.79,46.97,45.76,43.86
69,3,CA,0,76,5776,6,2009,492.50,485.62,-6.88,39.63,48.26,49.73,50.16,50.63,50.60,50.32,51.46,48.79,46.04
70,4,MT,0,76,5776,6,2009,543.78,494.47,-49.31,40.57,46.05,48.68,49.47,49.86,50.99,51.23,52.58,52.84,52.20
71,5,TX,0,75,5625,6,2009,523.10,506.77,-16.33,42.83,47.25,50.59,52.52,52.22,52.55,53.06,52.67,53.17,49.91
72,6,WI,0,79,6241,6,2009,550.10,536.85,-13.25,44.71,51.38,53.89,55.90,56.88,56.48,54.54,55.56,54.51,53.00
73,7,NC,0,77,5929,6,2009,548.20,547.99,-0.21,47.79,52.20,53.78,55.90,56.58,58.19,57.09,56.88,57.32,52.26
74,8,VA,0,76,5776,6,2009,570.58,559.15,-11.43,50.14,55.52,56.95,57.22,57.39,58.94,56.30,57.57,56.56,52.56
75,9,WA,0,76,5776,6,2009,584.30,561.09,-23.21,51.70,59.70,58.92,57.96,58.75,57.03,56.94,54.40,55.78,49.91
76,10,PA,0,75,5625,6,2009,570.80,566.69,-4.11,46.79,53.57,57.53,58.89,59.87,60.11,59.04,58.72,59.16,53.01
77,11,CA,0,78,6084,6,2009,629.71,590.69,-39.02,50.30,58.96,62.35,61.95,61.53,61.57,59.89,58.85,58.20,57.09
78,12,CA,0,78,6084,6,2009,635.77,633.27,-2.50,55.27,62.02,66.61,65.06,65.29,66.19,65.15,64.56,62.47,60.65
79,13,CA,0,75,5625,6,2009,562.50,641.75,79.25,43.90,52.99,56.15,58.43,59.37,58.87,56.66,55.42,99.98,99.98
80,14,IN,0,75,5625,6,2009,881.50,837.61,-43.89,57.32,72.92,82.72,91.06,90.12,90.12,94.33,105.64,70.37,83.02
81,1,NM,0,81,6561,7,2009,565.67,563.46,-2.21,45.53,54.30,59.25,58.73,59.40,58.29,59.44,57.64,56.93,53.95
82,2,CA,0,81,6561,7,2009,664.91,627.73,-37.18,57.26,63.75,65.14,64.68,63.76,63.46,62.10,62.81,64.11,60.66
83,3,IN,0,81,6561,7,2009,707.50,735.62,28.12,56.65,65.12,68.97,73.70,77.09,77.22,78.70,80.81,81.12,76.24
84,1,CA,0,86,7396,8,2009,513.69,501.71,-11.98,44.28,49.47,51.00,50.95,51.45,51.67,52.05,51.10,51.54,48.20
85,2,SC,0,88,7744,8,2009,658.88,700.27,41.39,59.37,68.67,69.13,71.50,71.34,71.74,72.18,73.87,72.12,70.35
86,3,OH,0,85,7225,8,2009,795.30,789.29,-6.01,70.43,70.43,78.55,77.79,81.22,80.38,81.77,85.25,82.88,80.59
87,4,FL,0,87,7569,8,2009,1021.20,883.70,-137.50,83.91,83.91,88.79,95.59,89.68,89.68,90.09,90.09,88.24,83.71
89,6,TN,0,86,7396,8,2009,1074.70,1027.22,-47.48,97.59,97.59,105.31,105.31,102.58,112.49,97.46,107.94,102.57,98.39
90,1,KY,1,51,2601,1,2009,446.29,371.20,-75.09,32.62,36.32,36.99,37.61,38.00,38.32,38.92,38.85,38.26,35.31
91,2,MD,1,52,2704,1,2009,390.56,372.28,-18.28,31.60,34.99,37.22,37.87,37.84,38.15,38.38,39.04,39.02,38.17
92,3,TN,1,50,2500,1,2009,391.20,380.10,-11.10,31.72,34.55,37.23,38.77,38.90,39.75,40.67,39.96,40.61,37.94
93,4,CA,1,53,2809,1,2009,411.72,383.80,-27.92,34.76,36.96,37.44,38.35,38.88,39.49,39.98,39.85,39.81,38.28
94,5,CA,1,51,2601,1,2009,393.26,389.55,-3.71,32.86,37.19,38.82,39.44,40.96,40.05,40.59,40.98,40.44,38.22
95,6,UT,1,53,2809,1,2009,432.17,411.08,-21.09,35.15,38.26,41.07,41.65,42.72,42.25,42.56,42.53,42.77,42.12
97,9,FL,1,53,2809,1,2009,468.60,465.34,-3.26,39.29,44.30,47.20,49.47,47.94,48.09,48.96,48.96,48.22,42.91
98,10,PA,1,51,2601,1,2009,495.70,493.69,-2.01,41.71,46.75,49.07,50.11,50.75,51.25,51.37,52.12,51.39,49.17
99,11,WI,1,52,2704,1,2009,528.40,505.74,-22.66,41.33,47.49,49.95,52.18,52.78,52.84,52.55,54.21,52.52,49.89
100,12,NH,1,54,2916,1,2009,544.60,532.37,-12.23,46.19,52.65,54.31,55.31,54.46,55.40,55.27,55.34,53.85,49.59
101,13,WA,1,54,2916,1,2009,576.24,592.17,15.93,46.84,57.12,62.47,62.05,59.91,63.11,60.81,60.85,59.51,59.51
102,14,DC,1,51,2601,1,2009,763.60,684.51,-79.09,55.45,67.15,69.86,70.88,71.42,73.74,68.03,71.35,72.44,64.19
103,1,CA,1,56,3136,2,2009,402.69,390.58,-12.11,31.37,36.07,38.41,40.35,41.03,41.75,41.21,41.02,40.89,38.48
104,2,CA,1,55,3025,2,2009,464.11,402.31,-61.80,37.89,39.95,40.42,40.55,40.36,40.45,41.21,40.93,40.99,39.56
105,3,SC,1,56,3136,2,2009,426.50,419.74,-6.76,35.27,39.93,41.08,41.71,42.60,43.22,43.97,44.46,44.38,43.12
106,4,NM,1,59,3481,2,2009,462.27,424.06,-38.21,35.18,40.17,42.54,43.27,43.90,43.79,44.19,43.92,44.50,42.60
107,5,MO,1,55,3025,2,2009,448.20,440.63,-7.57,37.48,43.34,45.08,46.21,45.82,44.78,45.03,45.40,44.60,42.89
108,6,KY,1,55,3025,2,2009,468.70,443.10,-25.60,40.33,44.23,45.66,45.67,45.16,45.30,44.85,44.84,44.23,42.83
109,7,TX,1,56,3136,2,2009,489.65,449.47,-40.18,39.34,43.24,45.29,45.89,45.66,45.87,46.15,46.71,46.86,44.46
110,8,TX,1,56,3136,2,2009,445.80,450.52,4.72,38.01,42.58,45.18,46.02,47.01,46.45,47.03,46.82,46.90,44.52
111,9,CA,1,56,3136,2,2009,476.80,457.81,-18.99,41.14,44.72,45.70,46.80,46.54,47.04,47.67,47.33,46.79,44.08
112,10,MD,1,56,3136,2,2009,467.89,478.93,11.04,40.51,44.15,46.79,48.17,48.67,50.17,50.37,50.41,51.19,48.50
113,11,WA,1,56,3136,2,2009,552.80,483.02,-69.78,45.38,48.16,49.41,50.24,49.50,50.32,49.10,48.74,47.60,44.57
114,12,TX,1,57,3249,2,2009,508.10,491.19,-16.91,42.11,46.51,48.49,49.55,50.26,50.79,51.66,52.07,51.62,48.13
115,13,MN,1,56,3136,2,2009,529.50,499.21,-30.29,46.92,50.13,50.05,50.42,50.12,50.84,50.51,51.38,51.13,47.71
116,14,FL,1,58,3364,2,2009,493.80,507.30,13.50,44.94,48.68,51.58,52.46,52.11,51.85,51.39,52.23,51.19,50.87
117,15,VA,1,56,3136,2,2009,550.70,519.74,-30.96,45.32,51.46,52.83,52.70,53.00,52.78,53.07,53.87,53.87,50.85
118,16,MI,1,55,3025,2,2009,512.00,530.99,18.99,48.75,52.46,53.93,55.35,55.30,54.01,53.78,54.51,53.41,49.49
119,17,CA,1,58,3364,2,2009,546.40,532.96,-13.44,46.19,51.75,54.26,54.53,54.72,54.54,54.62,54.41,54.86,53.08
120,18,AZ,1,55,3025,2,2009,553.60,537.65,-15.95,43.63,51.70,53.55,55.61,55.32,56.18,56.20,57.45,55.47,52.54
121,19,TX,1,55,3025,2,2009,568.38,540.50,-27.88,45.72,52.49,54.18,54.78,56.62,55.85,56.20,55.25,55.23,54.18
122,20,OH,1,59,3481,2,2009,577.00,567.03,-9.97,47.02,55.74,57.29,59.48,58.73,58.32,58.05,60.09,57.65,54.66
123,21,PA,1,55,3025,2,2009,626.80,626.85,0.05,45.80,59.73,62.08,63.97,66.45,67.55,67.27,67.68,66.61,59.71
124,22,DC,1,57,3249,2,2009,701.00,646.73,-54.27,60.43,66.34,66.09,64.55,65.37,65.10,66.07,66.13,65.60,61.05
125,23,GA,1,56,3136,2,2009,801.00,857.07,56.07,60.61,79.27,94.14,92.66,90.96,89.73,89.55,89.55,88.27,82.33
126,1,IL,1,62,3844,3,2009,469.30,442.23,-27.07,41.00,43.45,44.36,44.74,45.73,45.70,45.12,44.80,44.83,42.50
127,2,CA,1,60,3600,3,2009,470.40,452.36,-18.04,41.03,45.39,46.46,46.67,45.74,45.55,45.63,45.89,45.69,44.31
128,3,HI,1,64,4096,3,2009,467.90,464.77,-3.13,39.62,44.56,46.24,47.19,48.10,48.17,48.18,48.89,48.60,45.22
129,4,MA,1,62,3844,3,2009,512.11,474.24,-37.87,42.12,45.49,48.17,49.28,48.56,49.08,48.25,49.55,49.10,44.64
130,5,NY,1,61,3721,3,2009,513.70,494.49,-19.21,45.66,50.06,49.46,50.46,49.17,50.15,50.00,51.04,50.04,48.45
131,6,CA,1,63,3969,3,2009,557.26,509.65,-47.61,49.06,49.06,52.38,52.38,52.38,52.38,52.38,52.38,51.21,46.06
132,7,CA,1,60,3600,3,2009,533.94,514.59,-19.35,46.96,50.83,53.09,53.57,53.41,53.17,51.71,52.40,51.18,48.27
133,8,AZ,1,63,3969,3,2009,525.70,519.72,-5.98,46.09,52.34,54.26,53.38,53.29,51.94,52.45,52.68,52.91,50.38
134,9,OH,1,60,3600,3,2009,511.90,533.35,21.45,46.02,49.59,55.13,54.73,55.14,55.59,55.59,55.59,55.59,50.37
135,10,DC,1,61,3721,3,2009,542.00,542.01,0.01,47.44,55.01,54.58,56.78,55.75,55.25,55.25,54.98,54.57,52.40
136,11,CA,1,64,4096,3,2009,564.23,543.47,-20.76,49.18,52.34,54.26,55.60,56.09,55.90,57.41,56.42,54.92,51.35
137,12,NM,1,63,3969,3,2009,541.92,544.00,2.08,45.73,51.38,52.85,55.68,54.91,57.25,57.25,57.46,57.90,53.60
138,13,TN,1,61,3721,3,2009,612.50,584.59,-27.91,47.51,55.42,59.98,60.11,60.08,60.09,61.63,60.62,60.84,58.31
139,14,LA,1,64,4096,3,2009,663.00,594.69,-68.31,54.49,61.67,61.63,61.81,61.25,61.07,59.40,59.76,58.61,55.00
140,15,FL,1,62,3844,3,2009,592.00,619.73,27.73,52.09,60.92,61.52,64.15,64.30,65.86,63.01,63.62,63.62,60.65
141,16,NC,1,63,3969,3,2009,618.50,656.24,37.74,54.13,63.52,67.35,68.01,69.21,67.94,67.86,67.75,65.74,64.73
142,17,WV,1,62,3844,3,2009,720.60,675.62,-44.98,47.29,60.03,67.30,70.36,71.73,75.34,72.46,72.92,75.65,62.54
143,18,VA,1,61,3721,3,2009,698.83,769.43,70.60,69.17,78.54,80.07,80.89,78.15,76.62,77.04,76.98,77.47,74.50
144,19,NC,1,62,3844,3,2009,790.00,898.68,108.68,75.50,91.29,84.09,91.47,93.24,90.19,95.78,94.22,94.22,88.68
145,1,TX,1,68,4624,4,2009,465.15,460.52,-4.63,39.99,43.98,45.71,47.61,47.98,48.14,47.70,48.17,47.30,43.94
146,2,MT,1,66,4356,4,2009,561.76,504.51,-57.25,43.67,50.62,51.61,52.60,52.18,51.92,51.65,51.48,51.10,47.68
147,3,TX,1,67,4489,4,2009,568.60,505.04,-63.56,43.97,48.50,52.15,52.06,51.88,52.05,52.13,52.09,52.22,47.99
148,4,MD,1,65,4225,4,2009,549.36,523.98,-25.38,46.26,52.92,54.17,53.67,54.15,53.94,53.36,53.44,51.40,50.67
149,5,CA,1,66,4356,4,2009,548.80,533.84,-14.96,49.57,52.16,55.06,53.87,54.18,53.99,54.42,53.99,54.13,52.47
150,6,CA,1,67,4489,4,2009,547.10,534.09,-13.01,48.56,51.92,53.29,54.31,54.51,54.53,54.65,54.70,54.64,52.98
151,7,FL,1,68,4624,4,2009,589.40,578.52,-10.88,51.17,56.81,58.88,63.06,57.63,58.60,59.05,58.42,58.22,56.68
152,8,FL,1,68,4624,4,2009,587.00,594.92,7.92,49.30,57.19,61.37,60.91,62.26,60.94,62.40,61.30,60.65,58.60
153,9,WA,1,66,4356,4,2009,614.60,612.30,-2.30,54.53,60.89,62.90,62.32,61.76,63.15,63.21,62.81,62.59,58.14
154,10,OH,1,67,4489,4,2009,628.70,640.75,12.05,56.75,60.83,63.38,64.46,64.77,64.77,66.51,67.39,67.39,64.51
155,11,FL,1,65,4225,4,2009,591.20,654.09,62.89,47.74,57.25,69.20,70.47,69.90,70.62,70.62,69.59,69.71,59.00
156,12,NH,1,66,4356,4,2009,787.20,727.47,-59.73,66.54,70.99,73.05,76.71,75.11,74.55,76.02,75.56,73.38,65.56
157,13,GA,1,68,4624,4,2009,776.00,770.17,-5.83,68.12,79.25,79.22,78.53,77.99,79.39,79.24,78.91,78.40,71.12
158,14,WA,1,67,4489,4,2009,787.73,800.99,13.26,78.02,78.02,78.02,81.54,93.13,75.95,77.26,86.69,81.91,70.46
159,15,NH,1,69,4761,4,2009,825.10,802.17,-22.93,75.95,75.95,76.83,81.70,84.39,84.39,80.62,83.14,81.58,77.62
160,16,CA,1,66,4356,4,2009,859.54,865.20,5.66,73.40,85.10,87.82,88.91,90.43,87.58,90.88,89.17,90.62,81.29
161,1,HI,1,70,4900,5,2009,487.09,455.18,-31.91,41.09,44.84,46.20,46.65,47.02,46.60,46.88,46.26,45.77,43.87
162,2,AZ,1,70,4900,5,2009,506.60,476.73,-29.87,41.60,46.73,47.46,46.44,49.12,49.73,49.44,49.36,49.86,46.99
163,3,WA,1,74,5476,5,2009,568.55,553.26,-15.29,45.95,53.14,55.53,56.89,57.63,57.63,57.63,57.63,57.63,53.58
164,4,GA,1,70,4900,5,2009,560.00,554.18,-5.82,48.88,52.41,57.87,56.91,56.49,56.30,56.27,57.70,55.68,55.68
165,5,NC,1,70,4900,5,2009,583.00,567.95,-15.05,46.09,55.38,56.63,59.57,60.22,59.05,58.77,58.82,56.71,56.71
166,6,NM,1,73,5329,5,2009,640.53,619.58,-20.95,51.95,61.57,64.23,62.42,64.33,62.19,62.47,63.72,64.02,62.68
167,7,DC,1,70,4900,5,2009,655.00,619.65,-35.35,52.64,62.24,62.90,64.70,63.31,62.40,64.00,63.99,63.12,60.35
168,8,CA,1,70,4900,5,2009,641.17,631.16,-10.01,57.32,63.20,62.87,63.68,64.60,63.91,64.60,63.18,64.78,63.02
169,9,TN,1,71,5041,5,2009,698.80,674.60,-24.20,53.90,65.78,69.34,68.55,69.12,69.44,69.93,70.14,70.28,68.12
170,10,DC,1,70,4900,5,2009,702.10,721.43,19.33,62.50,72.67,73.13,73.92,76.21,73.75,75.56,74.75,71.78,67.16
171,11,DC,1,72,5184,5,2009,897.60,814.21,-83.39,71.68,82.24,81.72,84.81,83.19,86.37,81.80,83.79,83.79,74.82
172,12,IA,1,73,5329,5,2009,803.40,823.63,20.23,66.38,76.55,83.04,82.63,90.11,86.20,88.36,89.89,85.40,75.07
173,13,AR,1,71,5041,5,2009,869.59,869.46,-0.13,76.64,89.20,89.41,87.48,90.63,87.52,85.01,88.44,89.03,86.10
174,14,OH,1,73,5329,5,2009,1141.70,1137.50,-4.20,105.21,105.21,105.21,117.24,117.24,120.17,116.81,116.81,116.81,116.81
175,1,HI,1,75,5625,6,2009,497.30,487.10,-10.20,44.43,48.55,49.51,49.87,50.00,49.60,49.48,49.48,49.48,46.69
176,2,CA,1,76,5776,6,2009,581.26,530.14,-51.12,46.15,52.20,54.63,54.66,54.18,55.50,54.79,54.61,53.69,49.73
177,3,GA,1,75,5625,6,2009,598.00,570.75,-27.25,51.88,56.93,57.04,59.96,56.18,58.31,61.13,58.07,57.13,54.12
178,4,IL,1,78,6084,6,2009,642.10,594.83,-47.27,54.25,59.52,61.34,62.72,61.14,61.64,60.94,59.51,59.39,54.38
179,5,NM,1,75,5625,6,2009,691.05,666.57,-24.48,56.16,65.69,68.38,69.35,68.73,70.13,68.80,69.40,68.18,61.75
180,6,SC,1,78,6084,6,2009,647.90,670.21,22.31,56.33,64.62,69.59,69.82,69.32,70.10,68.86,69.65,67.30,64.62
181,7,IL,1,76,5776,6,2009,695.70,691.45,-4.25,63.26,68.38,71.00,69.78,70.51,71.43,68.82,70.55,70.55,67.18
182,8,DC,1,76,5776,6,2009,760.00,710.23,-49.77,52.53,67.98,73.09,73.34,75.35,75.54,72.95,75.54,71.96,71.96
183,9,CO,1,77,5929,6,2009,732.80,732.99,0.19,64.35,71.81,76.18,76.05,73.94,73.61,74.56,75.69,74.83,71.97
184,10,NM,1,75,5625,6,2009,766.09,759.22,-6.87,73.99,77.00,75.00,76.66,75.00,75.07,77.83,75.92,76.51,76.24
185,11,Mexico,1,76,5776,6,2009,932.75,778.64,-154.11,64.75,76.65,82.18,80.46,80.18,79.00,79.67,79.01,78.28,78.46
